temp_C,time_min,mass_loss
40.126,0.95,-4.20E-02
40.148,0.95167,-4.23E-02
40.168,0.95333,-4.23E-02
40.19,0.955,-4.24E-02
40.211,0.95667,-4.24E-02
40.229,0.95833,-4.28E-02
40.251,0.96,-4.28E-02
40.274,0.96167,-4.30E-02
40.296,0.96333,-4.30E-02
40.317,0.965,-4.33E-02
40.338,0.96667,-4.33E-02
40.357,0.96833,-4.35E-02
40.38,0.97,-4.35E-02
40.403,0.97167,-4.38E-02
40.422,0.97333,-4.38E-02
40.444,0.975,-4.40E-02
40.465,0.97667,-4.40E-02
40.486,0.97833,-4.45E-02
40.51,0.98,-4.45E-02
40.531,0.98167,-4.48E-02
40.552,0.98333,-4.48E-02
40.572,0.985,-4.50E-02
40.595,0.98667,-4.50E-02
40.615,0.98833,-4.53E-02
40.638,0.99,-4.53E-02
40.658,0.99167,-4.55E-02
40.679,0.99333,-4.55E-02
40.701,0.995,-4.58E-02
40.722,0.99667,-4.58E-02
40.745,0.99833,-4.60E-02
40.765,1,-4.60E-02
40.786,1.00167,-4.63E-02
40.808,1.00333,-4.63E-02
40.827,1.005,-4.65E-02
40.85,1.00667,-4.65E-02
40.872,1.00833,-4.69E-02
40.892,1.01,-4.69E-02
40.914,1.01167,-4.71E-02
40.937,1.01333,-4.71E-02
40.957,1.015,-4.74E-02
40.98,1.01667,-4.74E-02
40.999,1.01833,-4.76E-02
41.02,1.02,-4.76E-02
41.042,1.02167,-4.79E-02
41.063,1.02333,-4.79E-02
41.086,1.025,-4.81E-02
41.107,1.02667,-4.81E-02
41.128,1.02833,-4.84E-02
41.151,1.03,-4.84E-02
41.17,1.03167,-4.86E-02
41.19,1.03333,-4.86E-02
41.213,1.035,-4.89E-02
41.235,1.03667,-4.89E-02
41.257,1.03833,-4.92E-02
41.279,1.04,-4.92E-02
41.296,1.04167,-4.95E-02
41.317,1.04333,-4.95E-02
41.339,1.045,-4.97E-02
41.362,1.04667,-4.97E-02
41.382,1.04833,-5.01E-02
41.403,1.05,-5.01E-02
41.424,1.05167,-5.04E-02
41.444,1.05333,-5.05E-02
41.467,1.055,-5.07E-02
41.488,1.05667,-5.07E-02
41.51,1.05833,-5.10E-02
41.531,1.06,-5.10E-02
41.55,1.06167,-5.13E-02
41.573,1.06333,-5.13E-02
41.595,1.065,-5.16E-02
41.616,1.06667,-5.16E-02
41.636,1.06833,-5.18E-02
41.658,1.07,-5.18E-02
41.68,1.07167,-5.21E-02
41.699,1.07333,-5.21E-02
41.723,1.075,-5.23E-02
41.742,1.07667,-5.23E-02
41.762,1.07833,-5.27E-02
41.787,1.08,-5.27E-02
41.808,1.08167,-5.30E-02
41.828,1.08333,-5.30E-02
41.85,1.085,-5.33E-02
41.87,1.08667,-5.33E-02
41.891,1.08833,-5.36E-02
41.914,1.09,-5.36E-02
41.935,1.09167,-5.38E-02
41.954,1.09333,-5.38E-02
41.975,1.095,-5.41E-02
41.996,1.09667,-5.41E-02
42.017,1.09833,-5.43E-02
42.038,1.1,-5.43E-02
42.059,1.10167,-5.46E-02
42.082,1.10333,-5.46E-02
42.103,1.105,-5.50E-02
42.123,1.10667,-5.50E-02
42.145,1.10833,-5.52E-02
42.167,1.11,-5.52E-02
42.187,1.11167,-5.55E-02
42.207,1.11333,-5.55E-02
42.227,1.115,-5.57E-02
42.248,1.11667,-5.57E-02
42.269,1.11833,-5.60E-02
42.289,1.12,-5.60E-02
42.312,1.12167,-5.63E-02
42.332,1.12333,-5.63E-02
42.351,1.125,-5.66E-02
42.373,1.12667,-5.66E-02
42.397,1.12833,-5.68E-02
42.42,1.13,-5.68E-02
42.441,1.13167,-5.71E-02
42.458,1.13333,-5.71E-02
42.477,1.135,-5.73E-02
42.499,1.13667,-5.73E-02
42.52,1.13833,-5.76E-02
42.541,1.14,-5.76E-02
42.564,1.14167,-5.80E-02
42.585,1.14333,-5.80E-02
42.605,1.145,-5.82E-02
42.627,1.14667,-5.82E-02
42.645,1.14833,-5.85E-02
42.666,1.15,-5.85E-02
42.688,1.15167,-5.87E-02
42.707,1.15333,-5.87E-02
42.73,1.155,-5.90E-02
42.75,1.15667,-5.90E-02
42.769,1.15833,-5.93E-02
42.79,1.16,-5.93E-02
42.812,1.16167,-5.97E-02
42.833,1.16333,-5.97E-02
42.856,1.165,-6.00E-02
42.878,1.16667,-6.00E-02
42.896,1.16833,-6.02E-02
42.917,1.17,-6.02E-02
42.939,1.17167,-6.05E-02
42.959,1.17333,-6.05E-02
42.98,1.175,-6.07E-02
42.999,1.17667,-6.11E-02
43.019,1.17833,-6.11E-02
43.042,1.18,-6.11E-02
43.063,1.18167,-6.15E-02
43.084,1.18333,-6.15E-02
43.104,1.185,-6.18E-02
43.124,1.18667,-6.18E-02
43.145,1.18833,-6.21E-02
43.164,1.19,-6.21E-02
43.185,1.19167,-6.23E-02
43.206,1.19333,-6.23E-02
43.224,1.195,-6.27E-02
43.245,1.19667,-6.31E-02
43.266,1.19833,-6.31E-02
43.288,1.2,-6.31E-02
43.309,1.20167,-6.33E-02
43.328,1.20333,-6.33E-02
43.349,1.205,-6.37E-02
43.37,1.20667,-6.37E-02
43.388,1.20833,-6.40E-02
43.41,1.21,-6.40E-02
43.434,1.21167,-6.43E-02
43.452,1.21333,-6.43E-02
43.471,1.215,-6.46E-02
43.49,1.21667,-6.50E-02
43.511,1.21833,-6.50E-02
43.532,1.22,-6.50E-02
43.554,1.22167,-6.53E-02
43.574,1.22333,-6.53E-02
43.593,1.225,-6.56E-02
43.614,1.22667,-6.56E-02
43.634,1.22833,-6.59E-02
43.656,1.23,-6.59E-02
43.676,1.23167,-6.62E-02
43.696,1.23333,-6.62E-02
43.717,1.235,-6.65E-02
43.737,1.23667,-6.65E-02
43.758,1.23833,-6.69E-02
43.779,1.24,-6.69E-02
43.797,1.24167,-6.72E-02
43.816,1.24333,-6.72E-02
43.838,1.245,-6.76E-02
43.86,1.24667,-6.76E-02
43.878,1.24833,-6.79E-02
43.898,1.25,-6.82E-02
43.919,1.25167,-6.82E-02
43.937,1.25333,-6.85E-02
43.959,1.255,-6.85E-02
43.98,1.25667,-6.89E-02
43.999,1.25833,-6.89E-02
44.02,1.26,-6.92E-02
44.04,1.26167,-6.92E-02
44.06,1.26333,-6.96E-02
44.08,1.265,-6.96E-02
44.101,1.26667,-7.00E-02
44.122,1.26833,-7.00E-02
44.142,1.27,-7.02E-02
44.161,1.27167,-7.02E-02
44.182,1.27333,-7.06E-02
44.201,1.275,-7.06E-02
44.222,1.27667,-7.10E-02
44.242,1.27833,-7.10E-02
44.262,1.28,-7.14E-02
44.281,1.28167,-7.14E-02
44.302,1.28333,-7.16E-02
44.322,1.285,-7.16E-02
44.342,1.28667,-7.20E-02
